Gene names	Majority protein IDs	Mol. weight [kDa]	Average concentration  H1	Average concentration  H2	Average concentration  H3
ABCC1	P33527-9;P33527;P33527-3;I3L4X2;P33527-2;P33527-4;P33527-5;P33527-7;P33527-6;P33527-8	172.64	0.265560396	0.234032187	0.329499438
ABCC10	Q5T3U5;Q5T3U5-2	161.63	0.022055989	0.020075219	0.016822799
ABCC2	Q92887	174.21	0.401260874	0.415367683	0.417813958
ABCC3	O15438;O15438-4;O15438-2	169.34	0.02850947	0.092368148	0.011095818
ABCC4	O15439;O15439-2	149.52	0	0	0
ABCC6	O95255	164.9	0.039362595	0.046779126	0.03474799
ABCC9	O60706;O60706-2;K4DI86;H0YFV4	174.22	0	0	0
ABCD1	P33897	82.936	0.851395754	0.677875161	0.678910158
ABCD3	P28288;E7EUE1;F5GYC1;P28288-2	75.475	4.680983484	5.515864011	5.190284956
ABCD4	O14678;F8W7M4	68.597	0	0	0
ABCE1	P61221;D6R9I9	67.314	2.675736642	2.629804579	2.873793529
ABCF1	Q8NE71;Q8NE71-2;H0YGW7	95.925	2.010126716	2.08603389	2.189597844
ABCF2	Q75MJ1;Q9UG63	72.443	0.408792112	0.419193811	0.410216755
ABCF3	Q9NUQ8;Q9NUQ8-2	79.744	0.227669319	0.170520146	0.206631615
ABCG2	Q9UNQ0;Q9UNQ0-2;H0YAF1;H0YAF3	72.313	0	0	0
ABCG5	Q9H222;E7EX35	72.503	0	0	0
ABCG8	Q9H221;Q9H221-2	75.678	0	0	0
ABHD10	B7Z6A8	16.91	0	0	0
ABHD10	Q9NUJ1	33.932	2.226025937	1.939935353	1.832878685
ABHD11	Q8NFV4;Q8NFV4-4;H7BYM8	34.69	0.430481589	0.411168139	0.375208159
ABHD12	Q8N2K0-2;Q8N2K0;Q8N2K0-3	45.558	2.159435536	2.431203855	1.960450692
ABHD13	Q7L211	38.548	0	0	0
ABHD14A	Q9BUJ0;C9J7W8;C9JMW6	29.764	0.017630104	0	0
ABHD14B	Q96IU4;F8W9U3;B4DQI4	22.345	2.480737128	2.302611722	2.715208329
ABHD15	Q6UXT9	51.771	0.112706092	0.096910266	0.089819121
ABHD2	P08910	48.314	0	0	0
ABHD3	Q8WU67;J3KTE1;J3KSP1	46.008	0	0	0
ABHD4	Q8TB40;J3KMW0;B4DDH7;F5H6T0	38.794	0	0	0
ABHD5	Q8WTS1	39.095	0	0	0.0148884
ABHD6	Q9BV23	38.33	0.166726693	0.201261069	0.136353705
ABI1	F8WA56;Q8IZP0-9;Q8IZP0-5;Q8IZP0-3;A6NFN2;Q8IZP0;Q8IZP0-6;Q8IZP0-4;Q8IZP0-2;F8WA55;Q8IZP0-7;F5H1G9;Q8IZP0-8;Q8IZP0-10;Q8IZP0-12;Q8IZP0-11	52.646	0.268809771	0.219759145	0.058003669
ABI2	J3KNB2;Q9NYB9;Q9NYB9-4;E7EP65;E7EW77;Q9NYB9-2;E9PEZ7;Q9NYB9-3	55.682	0.151473523	0.19622973	0.196267836
ABI3	Q9P2A4;Q9P2A4-2	39.035	0	0	0
ABL1	P00519-2;P00519;P42684-8	124.95	0	0.005851083	0
ABLIM1	H0Y3K7	73.822	0	0	0
ABLIM1	O14639-2;F8W8M4;Q5T6N4;O14639;Q5T6N2	81.12	0.708611816	0.690278271	0.791060287
ABLIM3	O94929	77.801	0	0	0
ABT1	Q9ULW3	31.079	0.324604197	0.409250194	0.32664123
ABTB2	Q8N961;Q8N961-2	113.65	0	0.006161478	0.009330536
ACAA1	B4E072	13.499	0	0	0
ACAA1	P09110;C9JDE9;H7C131;P09110-2;H0Y4D4	44.292	4.040509648	4.093082619	3.633090905
ACAA2	P42765	41.924	16.02356455	14.72586667	15.64882746
ACACA	Q13085;Q13085-2;Q13085-3;Q59FY4	265.55	0.909786575	0.884180531	0.847490943
ACACB	O00763;F8W8T8;O00763-2	276.54	0.121535634	0.064313788	0.094541442
ACAD10	Q6JQN1-5;Q6JQN1;Q6JQN1-2;F8W1I9	122.34	0.115163927	0.129414268	0.111632228
ACAD11	Q08AE9	33.776	0	0	0
ACAD11	Q709F0;Q709F0-2;Q709F0-3;D6RDI8;F8WEV0	87.282	0.125958029	0.242615772	0.238204021
ACAD8	Q9UKU7;B7Z5W4;Q6ZWP6	45.069	0.527235593	0.478502532	0.233598686
ACAD9	Q9H845;H0Y8Z9	68.76	2.7544548	2.977642421	2.81103921
ACADL	P28330	47.655	0	0	0.051388254
ACADM	H0YDT5	7.0552	0	0	0
ACADM	Q5T4U5;P11310-2;P11310;B7Z9I1;B4DJE7	50.27	8.149090019	7.764106986	8.000045602
ACADS	P16219;E9PE82	44.297	5.149790721	5.494401712	5.237890626
ACADSB	P45954;B4DQ51	47.485	24.42197703	22.93109541	26.29949461
ACADVL	P49748-3;P49748;P49748-2	72.926	6.316553904	6.376311209	6.293259924
ACAP1	Q15027	81.535	0	0	0
ACAP2	Q15057;H7C3Q8	88.028	0.026386061	0.0321	0.040506294
ACAP3	Q96P50;Q96P50-1	92.494	0	0	0
ACAT1	E9PKF3	5.4194	5.489327673	4.777578165	4.706697363
ACAT1	P24752	45.199	25.74346799	26.06679252	26.76667351
ACAT2	Q9BWD1;B7Z233	41.35	39.16461053	37.13369791	38.11468034
ACBD3	Q9H3P7	60.593	2.986381226	2.778654976	2.732254494
ACBD4	Q8NC06-2;K7EM05;Q8NC06;Q8NC06-3	34.755	0	0	0
ACBD5	Q5T8D3;Q5T8E0	60.091	0	0	0
ACBD5	Q5T8D3-3;Q5T8D3-2;Q5T8D3-4;B7Z2A7	58.977	0.289536897	0.26048436	0.385346381
ACCS	Q96QU6;B4E219;E9PRT9	57.323	0	0	0
ACD	Q96AP0;Q96AP0-2	57.733	0.055733062	0.045586445	0.04478163
ACIN1	Q9UKV3;E7EQT4;Q9UKV3-5;Q9UKV3-2;Q9UKV3-3	151.86	3.093969452	3.081062812	3.050945764
ACLY	P53396;P53396-2;B4E3P0	120.84	14.13034614	15.07281165	15.1906024
ACMSD	Q8TDX5;Q8TDX5-2	38.035	0	0	0
ACO1;IRP1	P21399;Q9HBB2;Q5VZA6	98.398	1.546007436	1.479274788	1.480420621
ACO2	A2A274;Q99798	87.819	12.30956683	11.88650483	11.31591328
ACOT1	Q86TX2;G3V4F2	46.277	14.92118893	14.19060149	14.14335833
ACOT12	Q8WYK0	62.033	0	0	0
ACOT13	Q9NPJ3;Q9NPJ3-2	14.96	14.00113129	11.13115633	12.09543732
ACOT2	P49753;P49753-2;B3KSA0	53.218	0	0	0
ACOT4	Q8N9L9	46.326	0	0	0
ACOT7	O00154;O00154-5;O00154-4;O00154-6;B4DUX0;O00154-3;K7EKP8;O00154-2;F5GWE2	41.796	1.73620945	1.803217215	1.688289346
ACOT8	O14734;E9PJN0;H7C5A7;E9PRD4	35.914	1.561151299	1.322742318	1.401723107
ACOT9	Q9Y305;Q9Y305-4;Q9Y305-2;Q9Y305-3;H7C5Q2	49.901	2.026132323	1.863409672	1.86863132
ACOX1	Q15067;Q15067-2;F5H0M0	74.423	4.527586703	4.345702374	4.891888128
ACOX2	Q99424;C9J0G0	76.826	1.296670939	1.299056018	1.255788556
ACOX3	O15254;O15254-2	77.628	0.27367837	0.366972955	0.344716256
ACP1	P24666;B5MCC7;G5E9R5	18.042	6.301179173	8.65760553	8.244690171
ACP2	P11117;E9PQY3;B7Z7D2;E9PHY0;E9PP23	48.344	0.097554909	0.152736624	0.182023314
ACP5	P13686;K7EJD9	36.598	0	0	0
ACP6	Q9NPH0;Q9NPH0-2	48.854	0.220308642	0.201325611	0.097672398
ACSF2	B4DFQ6;Q96CM8;B4DHT5;E9PF16;B4DUF5	70.622	1.898204128	2.229913681	2.17965466
ACSF3	F5H5A1;F5H755;F5H362;H0YGC7	35.142	0	0	0
ACSF3	Q4G176	64.129	0.545335016	0.865724943	0.770011038
ACSL1	B7Z3Z9	58.586	0	0	0
ACSL1	B7Z452	77.906	0	0	0
ACSL1	P33121;E7EPM6;P33121-2	77.942	1.975972433	2.309719261	2.276495242
ACSL3	O95573	80.419	8.032417291	7.043990769	6.579466865
ACSL4	D6RF95	17.242	0.286711261	0.292261371	0.267894718
ACSL4	O60488;O60488-2	79.187	20.11876534	22.08841571	22.70510548
ACSL5	Q9ULC5-3;Q9ULC5;Q9ULC5-4;B4DX30	82.262	4.306857751	4.450714231	4.193523859
ACSL6	Q9UKU0-1;Q9UKU0-8;Q9UKU0-6;J3KPG3;Q9UKU0;Q9UKU0-3;Q9UKU0-5;E7ERD7;Q9UKU0-7;Q9UKU0-2;G3V1S9	80.61	0	0	0
ACSM1	Q08AH1;H0YAU5	65.272	0.894354245	0.666389542	0.630813908
ACSM2A	Q08AH3;F5GWL3;F5H4B8	64.222	1.749009848	2.451276682	2.477963665
ACSM2B	Q68CK6;H3BTX9	64.271	0.345384903	0.571528495	0.524934878
ACSM3	Q53FZ2;H3BSM0;E7ETR5;Q53FZ2-2	66.152	0.022970762	0.025307238	0.013612261
ACSM5	Q6NUN0	64.759	0.012743299	0	0
ACSS1	Q9NUB1;Q9NUB1-2;Q6ZV30;Q9NUB1-3;Q9NUB1-4	74.856	2.855462459	3.49938108	3.164295754
ACSS2	E7EWU3	73.135	0	0	0
ACSS2	Q9NR19-2;Q9NR19	80.087	2.310729243	2.246080724	2.100650371
ACSS3	Q9H6R3;Q9H6R3-2	74.777	8.426134382	9.878855736	7.719988332
ACTA1	P68133;A6NL76;Q5T8M8;Q5T8M7	42.051	0.331305716	0.367776957	0.412892112
ACTA2;ACTG2	P62736;P63267;P63267-2	42.009	0	0	0
ACTB	C9JUM1	10.979	0	0	0
ACTB	C9JZR7	11.394	0.271304957	0.252784009	0.323981972
ACTB	CON__P60712;P60709	41.736	308.4473882	295.0852445	290.5529944
ACTBL2	Q562R1	42.003	0.387350264	0.097823904	0.085959828
ACTC1	P68032	42.019	27.20373679	31.22772531	31.32991431
ACTG1	P63261;I3L3I4;I3L4N8;I3L1U9;I3L3I0	41.792	0.377278515	0.382838725	0.405856242
ACTL6A	O96019;H7C5S0	47.46	2.483535003	2.641955967	2.685196191
ACTN1	P12814	103.06	5.155447473	4.893558143	5.546107108
ACTN1	P12814-3;B7TY16;P12814-2;H9KV75	105.57	0	0	0
ACTN2	B2RCS5;P35609	103.92	0.013617063	0.006562607	0.014641064
ACTN4	O43707;D6PXK4;F5GXS2	104.85	23.31097352	21.94599565	20.35592289
ACTR10	Q9NZ32;F6S9Y6;G3V5Y4;H0YJR3;G3V2Q5	46.306	0.206018772	0.241532168	0.256977505
ACTR1A	B4DXP9	37.48	0.042139779	0.0188658	0.026705071
ACTR1A	P61163;F5H3I4	42.613	3.93483969	3.338153077	3.039810719
ACTR1B	P42025	42.293	0.970810175	0.69611039	0.961701883
ACTR2	F5H6T1	34.522	0	0	0
ACTR2	P61160-2;P61160	45.376	4.160834458	4.53711823	4.478388659
ACTR3	P61158;B4DXW1;F5H3P5	47.371	3.022002612	3.489407584	2.43197103
ACTR3B	Q9P1U1;Q9P1U1-2;Q9P1U1-3	47.607	0	0	0
ACTR5	Q9H9F9	68.297	0.052556515	0.164627904	0.143923307
ACTR6	Q9GZN1;F8W057;F8VRL1;F8W0Q1;F8W043;F8VP72	45.81	0	0	0
ACTR8	Q9H981;Q9H981-2;H0Y849;Q9H981-3	70.483	0.05947271	0.064700222	0.067273153
ACVR2A	P27037;B4DWQ2	57.847	0	0	0
ACY1	B4DNW0;Q03154;C9J6I6;C9J9D8;C9JWD4	55.994	3.244221924	2.80082273	3.289658991
ACY3	Q96HD9	35.241	0.030409709	0.038767941	0.037041488
ACYP1	G3V2U7;P07311	14.125	0.229110893	0.455724205	0.441822304
ACYP2	P14621;F8WA34;E9PF46	11.139	0.378970102	0.570390264	0.294615294
ADA	P00813;F5GWI4	40.764	0.005892926	0	0.005775357
ADAL	Q6DHV7;Q6DHV7-2;Q6DHV7-3	40.263	0	0	0
ADAM10	O14672	84.141	0.655834385	0.849581383	0.719496895
ADAM17	P78536;P78536-2	93.02	0.075773312	0.088112499	0.046978398
ADAM9	Q13443;A0AVL1;Q13443-2;F8WC54	90.555	0.049321645	0.104346896	0.069354344
ADAMTS12	D6REX0	26.426	0	0	0
ADAR	E7ENU4;P55265-4;P55265;P55265-2;H0YCK3;P55265-5	140.83	1.042346067	1.047420147	1.05595179
ADARB1	P78563;G5E9B4;P78563-4;P78563-2;P78563-3	80.762	0	0	0
ADAT3	Q96EY9	38.07	0.107639028	0.130449145	0.11437858
ADCK1	Q86TW2;Q86TW2-2;Q9UIE6;G3V426;F8W9Q8	60.577	0.025972233	0.02631275	0.011431216
ADCK2	Q7Z695;C9JE15	68.981	0	0	0
ADCK3;CABC1	Q8NI60;Q5T7A4;Q8NI60-3;Q5T7A2;Q8NI60-4	71.949	2.218304718	2.333709991	2.1062684
ADCK4	Q96D53;Q96D53-2	60.069	0.091767111	0.093577512	0.075879107
ADCK5	Q3MIX3	65.896	0.068892237	0.086855824	0
ADCY9	O60503	150.7	0.013027447	0.010295868	0.031373217
ADD1	P35611-3;P35611;E7ENY0;A2A3N8;E7EV99;P35611-2;Q86XM2;H0Y9H2	84.302	1.535178532	1.499715617	1.55413103
ADD2	P35612;P35612-3;P35612-4;P35612-8;P35612-2;C9JTM0	80.853	0	0	0
ADD3	Q9UEY8	79.154	1.382158501	1.412121238	1.469268607
ADH1A	P07327	39.858	0	0	0
ADH1B	P00325;A8MYN5	39.854	0.22048708	0.021134495	0.161209096
ADH1C	P00326	39.867	0.033718857	0.02215906	0.025082128
ADH4	P08319-2;P08319;D6R9K8	42.607	0.839346957	0.839206745	0.793683276
ADH5	P11766;H0YAG8	39.724	15.34642087	14.05335949	15.79054564
ADH6	P28332-2;P28332;E9PBI1;B7ZAL1;D6RH17	39.83	2.811451993	2.874631277	2.971123546
ADH7	P40394-2;P40394	42.466	0	0	0
ADHFE1	Q8IWW8;Q8IWW8-3	50.307	0	0	0
ADI1	Q9BV57;Q9BV57-2	21.498	5.140069702	5.410028408	4.27746997
ADIPOQ	Q15848	26.413	0	0	0
ADIPOR2	Q86V24	43.883	0	0	0
ADK	P55263;P55263-3	40.545	3.009707364	3.071264555	2.62079823
ADK	P55263-2;B7Z800	38.703	0.936144186	0.445517576	0.326732249
ADNP	Q9H2P0	123.56	0.642555146	0.532781449	0.715723421
ADNP2	Q6IQ32;H0YM09;H0YLN6	122.83	0.005031457	0.004577826	0.007647902
ADO	Q96SZ5	29.751	0.117461366	0.073366364	0.220410231
ADPGK	Q9BRR6;Q9BRR6-2;E7EQY8;H3BRS6	54.088	0.709032614	0.624467737	0.563224855
ADPRHL2	Q9NX46	38.946	0.648996733	0.982941336	1.007951902
ADRA1A	P35348-9;P35348-2;P35348;P35348-4;P35348-3;E7EW16;P35348-8;P35348-6;P35348-7;P35348-5	40.637	0	0	0
ADRBK1	P25098;E9PRV7	79.573	0.221226019	0.204401792	0.011911346
ADRM1	Q16186	42.153	2.339464916	2.235204064	1.478767694
ADSL	P30566;E7ERF4;P30566-2	54.889	1.854736966	1.890981127	1.705794005
ADSS	P30520	50.097	0.908812672	0.925906779	0.732622067
ADSSL1	Q8N142;Q8N142-2	50.208	0	0	0
AER61;C3orf64	Q5NDL2;A8K2U1;Q5NDL2-3;B4E243	62.01	0.083693115	0.116159921	0.074562125
AFF4	Q9UHB7;Q9UHB7-2	127.46	0.04427636	0.080258839	0.07554915
AFG3L2	Q9Y4W6	88.583	3.3087814	3.150513441	3.249911859
AFM	P43652	69.068	0	0	0
AFMID	Q63HM1-2;Q63HM1;K7EMI4	34.528	0.172025641	0.125776749	0.202083663
AFP	J3KMX3;P02771	70.449	16.69241272	15.36187062	16.17766852
AFTPH	Q6ULP2;Q6ULP2-4;Q6ULP2-2;Q6ULP2-5;B8ZZI9;Q6ULP2-3	102.2	0.041551577	0.023844267	0.048397316
AGA	P20933;H0Y9C7	37.208	0.253565291	0.302663154	0.308068721
AGAP1	Q9UPQ3;Q9UPQ3-2;E7EUN2;Q9UPQ3-3;F5GXM9	94.469	0.042026535	0.047603654	0.042879519
AGAP3	Q96P47-4;Q96P47-2;Q96P47;B3KNZ8;E9PAL8;Q96P47-3;C9J975	97.95	0.084631269	0.053953077	0.064806743
AGFG1	P52594-4;P52594;P52594-3;P52594-2;B8ZZY2;C9J2I0	59.029	0.874739214	1.079225121	1.021338231
AGFG2	O95081;O95081-2	48.962	0.582666786	0.666449381	0.653218443
AGGF1	Q8N302	80.976	0.088466481	0.077368622	0.07862772
AGK	Q53H12;E9PC15;E9PG39	47.137	5.498579785	5.634212874	4.700456317
AGL	P35573;P35573-3;P35573-2	174.76	0.139598251	0.149352736	0.172184566
AGMAT	Q9BSE5	37.66	15.65265408	18.20530374	17.44605236
AGMO	Q6ZNB7	51.499	0.007142778	0.023455452	0.043233827
AGPAT1	Q99943;Q9HBM8	31.716	0.877457726	0.724167453	0.664240581
AGPAT2	O15120	30.914	0	0	0
AGPAT3	Q9NRZ7;Q9NRZ7-3;Q9NRZ7-2	43.38	1.101822546	1.110641094	1.134532036
AGPAT5	Q9NUQ2	42.072	0.362302691	0.359673839	0.44266489
AGPAT6	Q86UL3	52.07	0.172984725	0.213746391	0.217478392
AGPAT9	Q53EU6	48.705	0	0	0
AGPS	O00116	72.911	0.361139302	0.415168655	0.350243969
AGR2	Q4JM47;O95994	22.237	0.277452187	0.22494025	0.186459141
AGRN	O00468-6;O00468-7;O00468-3;O00468;O00468-4;O00468-5;O00468-2	214.84	0.960225985	0.968274623	0.88682623
AGT	P01019	53.154	2.702093664	2.90470861	2.702216603
AGTPBP1	Q9UPW5;Q9UPW5-3;Q9UPW5-2;B4DHX2	138.45	0	0	0.001328741
AGTRAP	Q6RW13;Q6RW13-2	17.419	0.733936728	0.703152503	0.722298962
AGXT	P21549	43.009	3.995334409	4.092042083	4.15603472
AGXT2	Q9BYV1;E9PDL7	57.156	0	0.004405048	0
AGXT2L1	Q8TBG4;Q8TBG4-2;E7ENR6;Q8TBG4-3	55.67	0	0	0
AGXT2L2	Q8IUZ5	49.71	0	0	0
AHCTF1	Q8WYP5-2;Q8WYP5-3;Q8WYP5	256	0.569708821	0.532747863	0.523992938
AHCY	P23526	47.716	32.32798577	31.46489863	32.75556515
AHCYL1	O43865;O43865-2	58.951	0.513702357	0.620536673	0.4990549
AHCYL2	Q96HN2;Q96HN2-2;F8W7N8;H0Y8B3;D7UEQ7;Q96HN2-3;Q96HN2-4	66.72	0.020169685	0.03739006	0.033248539
AHNAK	Q09666	629.09	2.870596215	2.937822587	2.855625593
AHNAK2	Q8IVF2;Q8IVF2-3	616.62	0.065008983	0.002448846	0.016925288
AHR	P35869	96.146	0.009029591	0.009075139	0.008434946
AHSA1	O95433;B4DUR9;G3V438;H0YJG7	38.274	3.146685922	2.617739912	2.490578146
AHSA2	Q719I0	33.806	0	0	0
AHSG	P02765;C9JV77	39.324	2.248315781	2.205072846	2.427900424
AHSP	Q9NZD4;H3BSK6	11.84	0	0	0
AIDA	Q96BJ3;F5H715;Q96BJ3-3	35.023	0.312906868	0.330823195	0.334418053
AIF1	P55008;Q5STX8	16.703	0	0	0
AIFM1;PDCD8	O95831;O95831-3;O95831-4;Q1L6K4	66.9	14.04024085	13.96305247	15.23367017
AIFM2	Q9BRQ8;Q9BRQ8-2	40.526	2.59301636	2.738968427	2.653509264
AIG1	Q9NVV5;Q9NVV5-2;Q9NVV5-3;Q5T2H3;Q9NVV5-4;Q5T2H4;Q9NVV5-5;B4DPX2;Q5THU2	28.222	0.848524984	1.067067565	1.056859583
AIM1	Q9Y4K1	188.67	0.050164831	0.052386443	0.04234196
AIMP1	Q12904	34.352	6.231281528	5.681183276	6.600804535
AIMP2	Q13155;F8W950;A8MU58	35.348	2.352592736	1.933243546	1.957844014
AIP	O00170;E9PMH2;E9PPD7	37.636	1.847718491	1.758525355	1.600796177
AJUBA	Q96IF1	56.933	0.597441276	0.391131138	0.494830488
AK1	Q5T9B7;P00568;H0Y4J6	23.411	2.775294948	2.831942056	3.418385847
AK2	P54819;F8W1A4;P54819-2;P54819-5;P54819-3;F8VY04;F8VZG5	26.477	22.14044788	18.52438299	18.977148
AK3	Q9UIJ7;Q9UIJ7-3;Q9UIJ7-2	25.565	24.43861883	22.27474317	21.84466056
AK4	P27144;D3DQ64	25.268	26.83363762	24.91953653	24.95246287
AKAP1	Q92667;Q92667-2	97.34	1.195702248	0.978231436	1.034390014
AKAP10	O43572;E7EMD6	73.817	0.027347605	0.024029782	0.033430321
AKAP11	Q9UKA4	210.51	0	0	0
AKAP12	Q02952;Q02952-2;Q02952-3	191.48	0	0	0
AKAP13	Q12802-2;Q12802;Q12802-4;H0YMW2	307.84	0.00449499	0.00878106	0.007684995
AKAP17A	Q02040;Q02040-3;Q02040-2	80.735	0.146820392	0.313735116	0.086995312
AKAP2	B1ALY0	47.626	0	0	0
AKAP2	Q9Y2D5-6;Q9Y2D5-4;Q9Y2D5-5;Q9Y2D5-7;Q9Y2D5;C9JVY5	120.63	0.086233134	0.073648156	0.075932253
AKAP7	Q9P0M2;F5GXD1	39.517	0.012788708	0	0.012447468
AKAP8	O43823	76.107	0.592009673	0.502364362	0.553694563
AKAP8L	Q9ULX6;Q9ULX6-2	71.648	0.32497528	0.263502817	0.297717763
AKAP9	Q99996-6;Q99996-2;Q99996-3;Q99996;Q99996-5	455.42	0.048437519	0.066770241	0.044521597
AKR1A1	P14550	36.573	10.00451755	9.751661759	9.366520845
AKR1B1	P15121;E9PCX2	35.853	7.641006797	8.466718203	8.140089833
AKR1B10	O60218	36.019	23.70732927	20.15981055	22.99497286
AKR1C1	A6NHU4	23.228	0	0	0
AKR1C1	Q04828;H0Y804	36.788	48.33368771	51.23600302	51.59077207
AKR1C2	P52895;B4DK69	36.735	1.616781731	1.18398869	1.219699251
AKR1C3	B4DL37	23.364	0.370589545	0.387577553	0.098734462
AKR1C3	P42330	36.853	47.63294622	57.31748203	56.56419498
AKR1C4	P17516	37.066	0	0	0
AKR1D1	P51857;P51857-2;P51857-3	37.376	0.205161758	0.455490446	0.458831245
AKR7A2	O43488;H3BLU7	39.589	2.616000346	2.022335286	2.632176382
AKR7A3	O95154	37.206	0.024183701	0.026256558	0.023525243
AKT1	P31749;B7Z5R1	55.686	0.051381779	0.055562288	0.037775408
AKT1S1	J3KPM3;Q96B36;Q96B36-2	29.262	0.19002276	0.195107108	0.191532929
AKT2	P31751;M0R0P9;Q0VAN0;C9JHS6;J3QLS6	55.768	0.091124664	0.024575654	0.013330436
AKTIP	Q9H8T0-2;Q9H8T0;H3BM79;H3BRV2	33.256	0.238995394	0.158799386	0.076959333
ALAD	P13716;B7Z3I9;P13716-2	36.294	0.45246728	0.446042861	0.356579551
ALAS1	P13196	70.58	0.146226198	0.121218126	0.160456378
ALB	CON__P02768-1;P02768;B7WNR0;D6RHD5;H0YA55;C9JKR2;P02768-2	69.366	41.20667676	38.94969864	37.56386098
ALCAM	Q13740;Q13740-2;F5GXJ9	65.102	1.478966534	1.394615661	1.529603798
ALCAM	Q6ZS95	33.878	0	0	0
ALDH16A1	Q8IZ83;Q8IZ83-3;F5H4B6;F8WBH3	85.126	0.628047948	0.633640936	0.435990011
ALDH18A1	P54886	87.301	45.20230439	49.22596813	49.32466301
ALDH1A1	P00352	54.861	54.51447821	54.35748288	57.59951529
ALDH1A1	Q5SYQ7	22.654	0	0	0
ALDH1A2;RALDH2	O94788;O94788-3;H0YMG7;O94788-2;H0YM00;H0YKL3;Q9UED3	56.723	2.280790069	2.124430998	2.20596949
ALDH1B1	P30837	57.206	22.81279156	24.95590162	23.37648849
ALDH1L1	B4DGC8	17.368	0	0	0
ALDH1L1	O75891;O75891-2	98.828	0.634523545	0.41995122	0.392965865
ALDH1L2	Q3SY69	101.74	0.010054512	0	0
ALDH2	E7EUE5	50.989	0	0.50313469	0.51082632
ALDH2	P05091;F8VXI5;F8W0A9	56.381	34.22546155	34.38495144	34.07217611
ALDH3A1	P30838;E9PNN6;C9JMC5;I3L3I9;A8MYB8;C9JKT2	50.394	0	0	0
ALDH3A2	P51648-2;P51648;J3QRD1	57.669	6.940951153	7.788521269	8.648790325
ALDH3B1	P43353;P43353-2	51.839	0	0	0
ALDH4A1	P30038;P30038-2;D2D4A3	61.719	22.98079205	23.32516186	21.8347497
ALDH5A1	P51649-2;P51649;F5H328;C9J8Q5	58.653	5.151908296	5.769995971	4.562907805
ALDH6A1	Q02252;J3KNU8	57.839	10.68742425	10.46203277	10.32897882
ALDH7A1	P49419;P49419-2;P49419-4;F8VS02;P49419-3	58.486	13.43837525	13.39721842	13.07555163
ALDH8A1	Q9H2A2;Q9H2A2-4;Q9H2A2-2	53.401	0.038236261	0.010954215	0.008021284
ALDH9A1	P49189;B4DXY7	53.801	1.401750188	1.64669694	1.410745856
ALDOA	P04075;J3KPS3;H3BQN4;H3BPS8;H3BUH7	39.42	58.77602203	60.38762824	59.86596977
ALDOB	P05062;Q5T7D5	39.473	3.455420928	4.72648735	5.018129232
